source,target,closest distance
RICL,ASHL,0
RICL,ASHL,0
RICL,RICL,0
RICL,ADEL,0
RICL,AIYR,0
RICL,AWBR,0
RICL,CEPDL,0
RICL,PHAL,613.4304936469841
RICL,SIADR,0
RICL,SIADR,0
RICL,ASHR,0
RICL,ASHR,0
RICL,ADLL,0
RICL,ADLR,0
RICL,SIAVR,0
RICL,SIAVR,0
RICL,SIAVL,0
RICL,SIAVL,0
RICL,AWBL,0
RICL,AIYL,0
RICL,CEPVL,0
RICL,PHBR,613.4260011858084
RICL,SIADL,0
RICL,SIADL,0
RICL,PVQL,0
RICL,PHAR,613.4270998888697
RICL,ADER,0
RICL,ASIL,0
RICL,ASIL,0
RICL,PHBL,613.4304936469841
RICL,ASIR,0
RICL,ASIR,0
RICL,RICR,0
RICL,CEPVR,0
RICL,PVQR,0
RICL,CEPDR,0
RICR,ASHL,0
RICR,ASHL,0
RICR,RICL,0
RICR,ADEL,0
RICR,AIYR,0
RICR,AWBR,0
RICR,CEPDL,0
RICR,PHAL,613.4482678522996
RICR,SIADR,0
RICR,SIADR,0
RICR,ASHR,0
RICR,ASHR,0
RICR,ADLL,0
RICR,ADLR,0
RICR,SIAVR,0
RICR,SIAVR,0
RICR,SIAVL,0
RICR,SIAVL,0
RICR,AWBL,0
RICR,AIYL,0
RICR,CEPVL,0
RICR,PHBR,613.4539320492506
RICR,SIADL,0
RICR,SIADL,0
RICR,PVQL,0
RICR,PHAR,613.4524915899704
RICR,ADER,0
RICR,ASIL,0
RICR,ASIL,0
RICR,PHBL,613.4482678522996
RICR,ASIR,0
RICR,ASIR,0
RICR,RICR,0
RICR,CEPVR,0
RICR,PVQR,0
RICR,CEPDR,0
RIMR,ASKR,0
RIMR,ASHL,0
RIMR,OLLR,0
RIMR,AVM,0.30639882474667307
RIMR,PVCR,0
RIMR,RICL,0
RIMR,RIAR,0
RIMR,OLQVR,0
RIMR,ADLL,0
RIMR,CEPVL,0
RIMR,MCR,9.978457599629106
RIMR,SIAVL,0
RIMR,SMDDR,0
RIMR,ASGL,0
RIMR,AIZL,0
RIMR,RMDVL,0
RIMR,RMEV,0
RIMR,MCL,9.904138857992127
RIMR,RICR,0
RIMR,RMDVR,0
RIMR,AWCR,0
RIMR,CEPDR,0
RIMR,BAGR,0
RIMR,SABVL,4.436287574775477
RIMR,LUAL,613.1644661600496
RIMR,SMDDL,0
RIMR,CEPDL,0
RIMR,HSNR,0
RIMR,SDQL,0
RIMR,SDQL,0
RIMR,SDQL,0
RIMR,RMDDL,0
RIMR,LUAR,613.1644661600496
RIMR,AIML,0
RIMR,AWCL,0
RIMR,RMEL,0
RIMR,AIYL,0
RIMR,AIZR,0
RIMR,SABD,0
RIMR,ASER,0
RIMR,OLQDR,0
RIMR,NSML,3.5787573349467747
RIMR,NSML,3.5787573349467747
RIMR,AIMR,0
RIMR,SIADL,0
RIMR,ASIR,0
RIMR,CEPVR,0
RIMR,AFDL,0
RIMR,SABVR,2.022099307645983
RIMR,DVA,0
RIMR,RIAL,0
RIMR,OLQVL,0
RIMR,OLLL,0
RIMR,ADEL,0
RIMR,AVBR,0
RIMR,ALNR,0
RIMR,ALNR,0
RIMR,IL1VR,0
RIMR,AVHR,0
RIMR,AUAR,0
RIMR,AUAR,0
RIMR,IL1L,0
RIMR,IL1DL,0
RIMR,CANR,6.421558366064749
RIMR,CANR,6.421558366064749
RIMR,PVDR,15.408297868371154
RIMR,PVDR,15.408297868371154
RIMR,RID,0
RIMR,IL1R,0
RIMR,HSNL,0
RIMR,ADLR,0
RIMR,ALMR,0.009672928571792028
RIMR,ALMR,0.009672928571792028
RIMR,AVHL,0
RIMR,AFDR,0
RIMR,BAGL,0
RIMR,RMER,0
RIMR,ALML,0
RIMR,ALML,0
RIMR,ADER,0
RIMR,CANL,9.264551631493754
RIMR,CANL,9.264551631493754
RIMR,RMDR,0
RIMR,AIYR,0
RIMR,RMDDR,0
RIMR,ASHR,0
RIMR,ASIL,0
RIMR,SMDVR,0
RIMR,RMDL,0
RIMR,BDUR,0
RIMR,NSMR,1.6357697875323602
RIMR,NSMR,1.6357697875323602
RIMR,DA09,515.1087492641637
RIMR,SIADR,0
RIMR,SDQR,0
RIMR,SDQR,0
RIMR,SDQR,0
RIMR,BDUL,0
RIMR,ASKL,0
RIMR,ALNL,0
RIMR,ALNL,0
RIMR,SIAVR,0
RIMR,AUAL,0
RIMR,AUAL,0
RIMR,PVDL,27.35193065401784
RIMR,PVDL,27.35193065401784
RIMR,OLQDL,0
RIMR,RMED,0
RIMR,ASGR,0
RIMR,AVBL,0
RIMR,SMDVL,0
RIMR,ASEL,0
RIMR,PVT,0
RIMR,PVT,0
RIMR,IL1VL,0
RIMR,IL1DR,0
RIMR,PDA,515.1087492641637
RIMR,PVCL,0
ADFL,DVA,0
ADFL,ASHL,0
ADFL,RICL,0
ADFL,RICL,0
ADFL,AIAL,0
ADFL,DD04,246.84545225622003
ADFL,RMEV,0
ADFL,AWBL,0
ADFL,URYDL,0
ADFL,MCL,1.9670353977318515
ADFL,RIAR,0
ADFL,VD09,403.32807082492747
ADFL,DVC,0
ADFL,DVC,0
ADFL,DD01,25.587213387627102
ADFL,DD02,77.5383249201729
ADFL,VD12,552.6904007082375
ADFL,MCR,4.158241562175291
ADFL,URYVR,0.9040314892844287
ADFL,RMDDL,0
ADFL,M3L,2.261476623232472
ADFL,RIBL,0
ADFL,VD07,253.57219009720365
ADFL,AIZL,0
ADFL,M1,2.5339512187172133
ADFL,I3,2.6084368414934405
ADFL,URYVL,0.31679862275837756
ADFL,M2L,1.0207409089351223
ADFL,AIBL,0
ADFL,AIBL,0
ADFL,RMHR,0
ADFL,URYDR,0
ADFL,I6,5.681810476092105
ADFL,AWBR,0
ADFL,PVT,0
ADFL,PVT,0
ADFL,RMEL,0
ADFL,RICR,0
ADFL,RICR,0
ADFL,VD04,97.32887713988073
ADFL,RMDVR,0
ADFL,RIMR,0
ADFL,RIMR,0
ADFL,M5,9.315598300326412
ADFL,PVQL,0
ADFL,RMDL,0
ADFL,RID,0
ADFL,RMDDR,0
ADFL,VD08,303.8663319415727
ADFL,RIML,0
ADFL,RIML,0
ADFL,VD11,506.73965984705103
ADFL,ASHR,0
